Feature,Importance_Mean,Importance_Std
PM10,57.6495278241189,0.24420469476165388
CO,13.936719857472985,0.17769844829862352
DEWP,6.427424812336831,0.12271334914125677
TEMP,4.844025479465283,0.119015982977248
SO2,2.864901930321428,0.3033799511441783
NO2,2.243451794544184,0.07186777272404225
season,2.2190998151171493,0.10831495570477856
O3,1.4542292088275772,0.03643438355999226
station,0.6804674658965603,0.04246871475281103
dayofweek,0.5447444154735862,0.0126785581681012
WSPM,0.4410163392341701,0.020680246852323718
station_type,0.20167173103353164,0.01890319604988882
wd,0.0927845552739818,0.011664909533733244
is_weekend,0.06710171977493147,0.011481648268007197
